type,facdor__period,facdor__status,facdor__openPrice,facdor__openNumber,facdor__isGreen,facdor__isRed,facdor__isViolet
3,20200613296,0,64871,1,1,0,0
3,20200613295,0,64843,3,1,0,0
3,20200613294,0,64858,8,0,1,0
3,20200613293,0,64841,1,1,0,0
3,20200613292,0,64863,3,1,0,0
3,20200613291,0,64845,5,1,0,1
3,20200613290,0,64849,9,1,0,0
3,20200613289,0,64867,7,1,0,0
3,20200613288,0,64851,1,1,0,0
3,20200613287,0,64844,4,0,1,0
3,20200613286,0,64846,6,0,1,0
3,20200613285,0,64827,7,1,0,0
3,20200613284,0,64827,7,1,0,0
3,20200613283,0,64836,6,0,1,0
3,20200613282,0,64864,4,0,1,0
3,20200613281,0,64871,1,1,0,0
3,20200613280,0,64863,3,1,0,0
3,20200613279,0,64876,6,0,1,0
3,20200613278,0,64891,1,1,0,0
3,20200613277,0,64892,2,0,1,0
3,20200613276,0,64902,2,0,1,0
3,20200613275,0,64928,8,0,1,0
3,20200613274,0,64939,9,1,0,0
3,20200613273,0,64943,3,1,0,0
3,20200613272,0,64938,8,0,1,0
3,20200613271,0,64925,5,1,0,1
3,20200613270,0,64927,7,1,0,0
3,20200613269,0,64955,5,1,0,1
3,20200613268,0,64938,8,0,1,0
3,20200613267,0,64941,1,1,0,0
3,20200613266,0,64955,5,1,0,1
3,20200613265,0,64943,3,1,0,0
3,20200613264,0,64931,1,1,0,0
3,20200613263,0,64923,3,1,0,0
3,20200613262,0,64909,9,1,0,0
3,20200613261,0,64892,2,0,1,0
3,20200613260,0,64886,6,0,1,0
3,20200613259,0,64860,0,0,1,1
3,20200613258,0,64842,2,0,1,0
3,20200613257,0,64838,8,0,1,0
3,20200613256,0,64839,9,1,0,0
3,20200613255,0,64846,6,0,1,0
3,20200613254,0,64832,2,0,1,0
3,20200613253,0,64847,7,1,0,0
3,20200613252,0,64826,6,0,1,0
3,20200613251,0,64841,1,1,0,0
3,20200613250,0,64821,1,1,0,0
3,20200613249,0,64826,6,0,1,0
3,20200613248,0,64827,7,1,0,0
3,20200613247,0,64810,0,0,1,1
3,20200613246,0,64833,3,1,0,0
3,20200613245,0,64846,6,0,1,0
3,20200613244,0,64841,1,1,0,0
3,20200613243,0,64864,4,0,1,0
3,20200613242,0,64876,6,0,1,0
3,20200613241,0,64906,6,0,1,0
3,20200613240,0,64891,1,1,0,0
3,20200613239,0,64882,2,0,1,0
3,20200613238,0,64872,2,0,1,0
3,20200613237,0,64858,8,0,1,0
3,20200613236,0,64853,3,1,0,0
3,20200613235,0,64847,7,1,0,0
3,20200613234,0,64851,1,1,0,0
3,20200613233,0,64857,7,1,0,0
3,20200613232,0,64867,7,1,0,0
3,20200613231,0,64876,6,0,1,0
3,20200613230,0,64892,2,0,1,0
3,20200613229,0,64896,6,0,1,0
3,20200613228,0,64903,3,1,0,0
3,20200613227,0,64890,0,0,1,1
3,20200613226,0,64871,1,1,0,0
3,20200613225,0,64840,0,0,1,1
3,20200613224,0,64837,7,1,0,0
3,20200613223,0,64818,8,0,1,0
3,20200613222,0,64828,8,0,1,0
3,20200613221,0,64824,4,0,1,0
3,20200613220,0,64814,4,0,1,0
3,20200613219,0,64792,2,0,1,0
3,20200613218,0,64792,2,0,1,0
3,20200613217,0,64797,7,1,0,0
3,20200613216,0,64780,0,0,1,1
3,20200613215,0,64776,6,0,1,0
3,20200613214,0,64753,3,1,0,0
3,20200613213,0,64767,7,1,0,0
3,20200613212,0,64785,5,1,0,1
3,20200613211,0,64755,5,1,0,1
3,20200613210,0,64762,2,0,1,0
3,20200613209,0,64766,6,0,1,0
3,20200613208,0,64757,7,1,0,0
3,20200613207,0,64742,2,0,1,0
3,20200613206,0,64766,6,0,1,0
3,20200613205,0,64741,1,1,0,0
3,20200613204,0,64720,0,0,1,1
3,20200613203,0,64718,8,0,1,0
3,20200613202,0,64704,4,0,1,0
3,20200613201,0,64718,8,0,1,0
3,20200613200,0,64745,5,1,0,1
3,20200613199,0,64731,1,1,0,0
3,20200613198,0,64736,6,0,1,0
3,20200613197,0,64717,7,1,0,0
3,20200613196,0,64714,4,0,1,0
3,20200613195,0,64719,9,1,0,0
3,20200613194,0,64702,2,0,1,0
3,20200613193,0,64715,5,1,0,1
3,20200613192,0,64722,2,0,1,0
3,20200613191,0,64718,8,0,1,0
3,20200613190,0,64701,1,1,0,0
3,20200613189,0,64694,4,0,1,0
3,20200613188,0,64714,4,0,1,0
3,20200613187,0,64702,2,0,1,0
3,20200613186,0,64702,2,0,1,0
3,20200613185,0,64704,4,0,1,0
3,20200613184,0,64724,4,0,1,0
3,20200613183,0,64721,1,1,0,0
3,20200613182,0,64722,2,0,1,0
3,20200613181,0,64700,0,0,1,1
3,20200613180,0,64687,7,1,0,0
3,20200613179,0,64671,1,1,0,0
3,20200613178,0,64675,5,1,0,1
3,20200613177,0,64668,8,0,1,0
3,20200613176,0,64658,8,0,1,0
3,20200613175,0,64657,7,1,0,0
3,20200613174,0,64661,1,1,0,0
3,20200613173,0,64668,8,0,1,0
3,20200613172,0,64683,3,1,0,0
3,20200613171,0,64709,9,1,0,0
3,20200613170,0,64705,5,1,0,1
3,20200613169,0,64707,7,1,0,0
3,20200613168,0,64693,3,1,0,0
3,20200613167,0,64700,0,0,1,1
3,20200613166,0,64724,4,0,1,0
3,20200613165,0,64720,0,0,1,1
3,20200613164,0,64704,4,0,1,0
3,20200613163,0,64707,7,1,0,0
3,20200613162,0,64703,3,1,0,0
3,20200613161,0,64727,7,1,0,0
3,20200613160,0,64730,0,0,1,1
3,20200613159,0,64742,2,0,1,0
3,20200613158,0,64749,9,1,0,0
3,20200613157,0,64767,7,1,0,0
3,20200613156,0,64778,8,0,1,0
3,20200613155,0,64775,5,1,0,1
3,20200613154,0,64782,2,0,1,0
3,20200613153,0,64783,3,1,0,0
3,20200613152,0,64805,5,1,0,1
3,20200613151,0,64794,4,0,1,0
3,20200613150,0,64807,7,1,0,0
3,20200613149,0,64819,9,1,0,0
3,20200613148,0,64831,1,1,0,0
3,20200613147,0,64801,1,1,0,0
3,20200613146,0,64825,5,1,0,1
3,20200613145,0,64800,0,0,1,1
3,20200613144,0,64799,9,1,0,0
3,20200613143,0,64770,0,0,1,1
3,20200613142,0,64763,3,1,0,0
3,20200613141,0,64780,0,0,1,1
3,20200613140,0,64765,5,1,0,1
3,20200613139,0,64745,5,1,0,1
3,20200613138,0,64753,3,1,0,0
3,20200613137,0,64737,7,1,0,0
3,20200613136,0,64711,1,1,0,0
3,20200613135,0,64717,7,1,0,0
3,20200613134,0,64719,9,1,0,0
3,20200613133,0,64731,1,1,0,0
3,20200613132,0,64710,0,0,1,1
3,20200613131,0,64719,9,1,0,0
3,20200613130,0,64711,1,1,0,0
3,20200613129,0,64687,7,1,0,0
3,20200613128,0,64692,2,0,1,0
3,20200613127,0,64699,9,1,0,0
3,20200613126,0,64706,6,0,1,0
3,20200613125,0,64693,3,1,0,0
3,20200613124,0,64702,2,0,1,0
3,20200613123,0,64694,4,0,1,0
3,20200613122,0,64721,1,1,0,0
3,20200613121,0,64722,2,0,1,0
3,20200613120,0,64725,5,1,0,1
3,20200613119,0,64758,8,0,1,0
3,20200613118,0,64740,0,0,1,1
3,20200613117,0,64755,5,1,0,1
3,20200613116,0,64761,1,1,0,0
3,20200613115,0,64765,5,1,0,1
3,20200613114,0,64778,8,0,1,0
3,20200613113,0,64774,4,0,1,0
3,20200613112,0,64789,9,1,0,0
3,20200613111,0,64795,5,1,0,1
3,20200613110,0,64790,0,0,1,1
3,20200613109,0,64764,4,0,1,0
3,20200613108,0,64760,0,0,1,1
3,20200613107,0,64770,0,0,1,1
3,20200613106,0,64750,0,0,1,1
3,20200613105,0,64731,1,1,0,0
3,20200613104,0,64758,8,0,1,0
3,20200613103,0,64778,8,0,1,0
3,20200613102,0,64776,6,0,1,0
3,20200613101,0,64754,4,0,1,0
3,20200613100,0,64761,1,1,0,0
3,20200613099,0,64751,1,1,0,0
3,20200613098,0,64758,8,0,1,0
3,20200613097,0,64759,9,1,0,0
3,20200613096,0,64783,3,1,0,0
3,20200613095,0,64793,3,1,0,0
3,20200613094,0,64814,4,0,1,0
3,20200613093,0,64821,1,1,0,0
3,20200613092,0,64846,6,0,1,0
3,20200613091,0,64829,9,1,0,0
3,20200613090,0,64832,2,0,1,0
3,20200613089,0,64834,4,0,1,0
3,20200613088,0,64823,3,1,0,0
3,20200613087,0,64829,9,1,0,0
3,20200613086,0,64836,6,0,1,0
3,20200613085,0,64802,2,0,1,0
3,20200613084,0,64796,6,0,1,0
3,20200613083,0,64776,6,0,1,0
3,20200613082,0,64762,2,0,1,0
3,20200613081,0,64762,2,0,1,0
3,20200613080,0,64782,2,0,1,0
3,20200613079,0,64756,6,0,1,0
3,20200613078,0,64776,6,0,1,0
3,20200613077,0,64787,7,1,0,0
3,20200613076,0,64778,8,0,1,0
3,20200613075,0,64779,9,1,0,0
3,20200613074,0,64790,0,0,1,1
3,20200613073,0,64770,0,0,1,1
3,20200613072,0,64781,1,1,0,0
3,20200613071,0,64777,7,1,0,0
3,20200613070,0,64760,0,0,1,1
3,20200613069,0,64764,4,0,1,0
3,20200613068,0,64772,2,0,1,0
3,20200613067,0,64762,2,0,1,0
3,20200613066,0,64766,6,0,1,0
3,20200613065,0,64755,5,1,0,1
3,20200613064,0,64761,1,1,0,0
3,20200613063,0,64769,9,1,0,0
3,20200613062,0,64755,5,1,0,1
3,20200613061,0,64776,6,0,1,0
3,20200613060,0,64796,6,0,1,0
